instance,best,avg. fitness, std fitness,best,avg. fitness, std fitness,best,avg. fitness, std fitness,best,avg. fitness, std fitness,best,avg. fitness, std fitness
F1,4.551962462893911e-21,0.0,0.0,36.94002391139791,60.206,26.253,17294.94919802081,25208.23,6565.229,7.669439535059986e-159,0.0,0.0,1.9735725425757842e-172,0.0,0.0
F3,1.8096860342848358e-09,0.0,0.0,16338.429800794464,26499.278,7908.962,83766.5762200087,111646.367,19724.215,73237.79784939898,99163.287,19981.595,1.4498005738902297e-168,0.0,0.0
F4,2.179260457960323e-07,0.0,0.0,38.45383517043109,54.882,11.635,74.12477309289874,78.556,3.176,1.763918273256139e-09,0.012,0.01,4.009168062144814e-77,0.0,0.0
F5,28.087431142848217,28.506,0.296,9554.015793433064,526341.347,554101.533,1630254.290622916,6068844.035,4007604.794,0.0721173063232341,4.431,5.348,27.64060166983235,28.045,0.394
F10,3.7247094297754295e-11,0.0,0.0,0.747406586531913,13.807,9.235,19.834927576709795,19.922,0.061,4.440892098500626e-16,0.0,0.0,4.440892098500626e-16,0.0,0.0
