MH,FITNESS
WOA,148.0
WOA,154.0
WOA,149.0
SCA,148.0
SCA,148.0
SCA,148.0
PSA,156.0
PSA,151.0
PSA,151.0
HBA,156.0
HBA,149.0
HBA,148.0
GWO,151.0
GWO,150.0
GWO,156.0
