MH,FITNESS
WOA,433.0
WOA,436.0
WOA,438.0
SCA,433.0
SCA,431.0
SCA,433.0
PSA,437.0
PSA,438.0
PSA,434.0
HBA,434.0
HBA,433.0
HBA,438.0
GWO,433.0
GWO,433.0
GWO,437.0
