MH,FITNESS
WOA,275.0
WOA,274.0
WOA,278.0
SCA,275.0
SCA,277.0
SCA,272.0
PSA,277.0
PSA,274.0
PSA,274.0
HBA,274.0
HBA,275.0
HBA,277.0
GWO,275.0
GWO,277.0
GWO,275.0
